Date,Open,High,Low,Close,Adj Close,Volume
3/25/2019,124.559998,125.110001,124.480003,124.919998,124.919998,7288300
3/26/2019,124.480003,124.510002,124.07,124.300003,124.300003,5056100
3/27/2019,124.349998,124.379997,123.559998,123.650002,123.650002,6595000
3/28/2019,122.279999,122.360001,121.709999,121.900002,121.900002,11878300
3/29/2019,122.639999,122.75,122.010002,122.010002,122.010002,7093900
4/1/2019,122.400002,122.43,121.459999,121.529999,121.529999,13560000
4/2/2019,121.720001,122.010002,121.68,121.980003,121.980003,4475000
4/3/2019,121.730003,122.010002,121.68,121.800003,121.800003,6152200
4/4/2019,121.099998,122.239998,120.959999,122.110001,122.110001,7508400
4/5/2019,121.879997,122.129997,121.660004,121.980003,121.980003,5114500
4/8/2019,122.970001,123.019997,122.400002,122.510002,122.510002,4270800
4/9/2019,123.260002,123.349998,123.029999,123.150002,123.150002,4648400
4/10/2019,123.220001,123.769997,123.190002,123.529999,123.529999,6344800
4/11/2019,122.540001,122.75,121.790001,121.949997,121.949997,11694500
4/12/2019,121.959999,122.309998,121.800003,121.830002,121.830002,5272800
4/15/2019,121.199997,121.82,121.099998,121.599998,121.599998,4252400
4/16/2019,120.379997,120.629997,120.190002,120.510002,120.510002,10097800
4/17/2019,120.459999,120.510002,120.199997,120.279999,120.279999,4693900
4/18/2019,120.239998,120.540001,120.150002,120.370003,120.370003,4090400
4/22/2019,120.459999,120.5,120.269997,120.370003,120.370003,2250900
4/23/2019,119.669998,120.199997,119.550003,120.120003,120.120003,5574800
4/24/2019,120.059998,120.720001,120.040001,120.470001,120.470001,4173000
4/25/2019,120.720001,121.099998,120.5,120.57,120.57,4836900
4/26/2019,121.260002,121.669998,121.220001,121.370003,121.370003,6022700
4/29/2019,120.879997,120.910004,120.669998,120.830002,120.830002,4469300
4/30/2019,120.889999,121.360001,120.849998,121.199997,121.199997,4758600
5/1/2019,121.029999,121.550003,120.18,120.400002,120.400002,12331800
5/2/2019,119.690002,120.110001,119.540001,119.940002,119.940002,6759600
5/3/2019,120.559998,121.080002,120.480003,120.650002,120.650002,8414400
5/6/2019,120.610001,121.120003,120.540001,120.809998,120.809998,3479600
5/7/2019,121.019997,121.419998,120.910004,121.209999,121.209999,4010700
5/8/2019,121.540001,121.540001,120.769997,120.910004,120.910004,4178800
5/9/2019,120.959999,121.620003,120.860001,121.199997,121.199997,5015500
5/10/2019,121.410004,121.730003,121.300003,121.43,121.43,4586000
